error_actual,y_test_pred,y_test
1439.0,3560.0,2121
1592.0,4104.0,2512
-11194.0,3527.0,14721
6141.0,15883.0,9742
3553.0,5099.0,1546
2036.0,3857.0,1821
371.0,6369.0,5998
8999.0,10239.0,1240
1706.0,6861.0,5155
-13006.0,32546.0,45552
20590.0,21626.0,1036
4195.0,6401.0,2206
-50788.0,6369.0,57157
4613.0,6369.0,1756
-1914.0,3604.0,5518
2315.0,8048.0,5733
2537.0,4202.0,1665
33423.0,35175.0,1752
4593.0,6369.0,1776
-42.0,3516.0,3558
2716.0,3873.0,1157
-4322.0,3419.0,7741
3023.0,4243.0,1220
1966.0,3047.0,1081
2002.0,3182.0,1180
-1617.0,4069.0,5686
763.0,3312.0,2549
2700.0,3705.0,1005
1198.0,2492.0,1294
1483.0,2773.0,1290
1917.0,3649.0,1732
2129.0,3661.0,1532
-446.0,2530.0,2976
2496.0,4129.0,1633
454.0,2028.0,1574
-2510.0,3325.0,5835
-421.0,2598.0,3019
-4737.0,3482.0,8219
-12848.0,3743.0,16591
6242.0,11911.0,5669
-32.0,2737.0,2769
48648.0,58001.0,9353
5097.0,6369.0,1272
-716.0,2818.0,3534
231.0,1882.0,1651
1359.0,6160.0,4801
-1696.0,2182.0,3878
331.0,2985.0,2654
1156.0,2389.0,1233
8630.0,40692.0,32062
-121.0,1885.0,2006
1754.0,3338.0,1584
-821.0,1970.0,2791
418.0,1806.0,1388
110881.0,382335.0,271454
-3051.0,2206.0,5257
-945.0,9877.0,10822
1751.0,3778.0,2027
783.0,2165.0,1382
269.0,1738.0,1469
315.0,1972.0,1657
-1684.0,1597.0,3281
2941.0,6369.0,3428
-315.0,2063.0,2378
2581.0,6369.0,3788
3987.0,5083.0,1096
889.0,8201.0,7312
-3481.0,6369.0,9850
-647.0,1714.0,2361
1641.0,3655.0,2014
2310.0,3404.0,1094
1786.0,6369.0,4583
2248.0,3390.0,1142
4961.0,6369.0,1408
-6576.0,6369.0,12945
-9921.0,6369.0,16290
-20330.0,6369.0,26699
2276.0,3618.0,1342
1090.0,4134.0,3044
-2033.0,3273.0,5306
3679.0,6369.0,2690
20882.0,22625.0,1743
4149.0,8628.0,4479
436.0,1903.0,1467
1296.0,2408.0,1112
-5135.0,3094.0,8229
5868.0,7183.0,1315
-12036.0,3812.0,15848
2560.0,3672.0,1112
3493.0,6369.0,2876
952.0,3338.0,2386
-2098.0,3689.0,5787
4353.0,5416.0,1063
-3002.0,2051.0,5053
-1721.0,2315.0,4036
916.0,3264.0,2348
1958.0,3502.0,1544
130.0,2390.0,2260
1235.0,2689.0,1454
2723.0,3864.0,1141
-17521.0,6369.0,23890
5199.0,6369.0,1170
5185.0,6369.0,1184
1732.0,5180.0,3448
3834.0,8103.0,4269
1482.0,4403.0,2921
-7242.0,3489.0,10731
1430.0,3053.0,1623
1860.0,5008.0,3148
2364.0,3390.0,1026
5054.0,6369.0,1315
-4055.0,2841.0,6896
1727.0,3933.0,2206
4658.0,8810.0,4152
4121.0,6369.0,2248
13030.0,15881.0,2851
1211.0,3386.0,2175
-109464.0,52559.0,162023
908.0,3765.0,2857
168.0,3716.0,3548
-2465.0,3386.0,5851
-8712.0,6369.0,15081
1360.0,2759.0,1399
-136318.0,6369.0,142687
3707.0,6369.0,2662
3081.0,4217.0,1136
1125.0,2641.0,1516
2285.0,3365.0,1080
5081.0,6369.0,1288
2492.0,3576.0,1084
2329.0,3529.0,1200
5359.0,6369.0,1010
1631.0,3256.0,1625
12594.0,16369.0,3775
5271.0,6369.0,1098
2988.0,6369.0,3381
1528.0,2545.0,1017
-13472.0,27398.0,40870
467.0,3470.0,3003
2461.0,3573.0,1112
2574.0,4428.0,1854
247.0,3510.0,3263
1768.0,3057.0,1289
1869.0,4319.0,2450
-1515.0,6369.0,7884
1521.0,3426.0,1905
1504.0,6369.0,4865
-444.0,7347.0,7791
776.0,3754.0,2978
-59879.0,25519.0,85398
1840.0,3689.0,1849
12553.0,44688.0,32135
399.0,2716.0,2317
90322.0,154730.0,64408
2602.0,3792.0,1190
16045.0,22894.0,6849
1889.0,3848.0,1959
1078.0,6369.0,5291
1990.0,3395.0,1405
-1119.0,3132.0,4251
4218.0,6369.0,2151
3966.0,8631.0,4665
2439.0,3727.0,1288
2079.0,3322.0,1243
-1451.0,1330.0,2781
793.0,3411.0,2618
150.0,2394.0,2244
-3254.0,2144.0,5398
-524.0,3684.0,4208
-20593.0,1715.0,22308
-593.0,6369.0,6962
634.0,2647.0,2013
15817.0,19386.0,3569
982.0,2682.0,1700
300.0,2057.0,1757
632.0,3092.0,2460
2134.0,3927.0,1793
-161.0,1737.0,1898
834.0,2190.0,1356
1892.0,4157.0,2265
315.0,1706.0,1391
-847.0,4103.0,4950
-4689.0,3336.0,8025
1710.0,3102.0,1392
548.0,1827.0,1279
-45947.0,287491.0,333438
742.0,2347.0,1605
-3015.0,1779.0,4794
1743.0,3618.0,1875
-16275.0,4206.0,20481
1061.0,3756.0,2695
615.0,4071.0,3456
2698.0,3707.0,1009
2198.0,3590.0,1392
-59870.0,331435.0,391305
39490.0,145006.0,105516
442.0,2399.0,1957
-73.0,6369.0,6442
4856.0,6369.0,1513
788.0,1980.0,1192
-2828.0,2700.0,5528
2000.0,3229.0,1229
2680.0,11670.0,8990
1081.0,2678.0,1597
-8291.0,7450.0,15741
59097.0,650607.0,591510
347.0,3782.0,3435
5361.0,6369.0,1008
-76954.0,82486.0,159440
2793.0,4006.0,1213
-94093.0,46169.0,140262
864.0,1921.0,1057
-324.0,1780.0,2104
-40231.0,15926.0,56157
1237.0,2743.0,1506
1638.0,6369.0,4731
1851.0,3704.0,1853
-4634.0,3965.0,8599
-1945.0,3343.0,5288
-846.0,1892.0,2738
1659.0,3071.0,1412
-66.0,1821.0,1887
953.0,3469.0,2516
2250.0,3652.0,1402
-2300.0,4042.0,6342
14.0,4082.0,4068
3170.0,4324.0,1154
-393.0,3767.0,4160
1380.0,3961.0,2581
702.0,3580.0,2878
-160.0,1885.0,2045
447.0,2836.0,2389
-800.0,4326.0,5126
2299.0,3506.0,1207
1776.0,2922.0,1146
1759.0,3843.0,2084
-4191.0,3977.0,8168
1824.0,4107.0,2283
-26614.0,4350.0,30964
1746.0,4327.0,2581
-1124.0,4185.0,5309
2623.0,3647.0,1024
-635.0,3684.0,4319
1425.0,4025.0,2600
-2283.0,4150.0,6433
2421.0,3683.0,1262
-5624.0,3583.0,9207
-12567.0,3741.0,16308
-49122.0,4380.0,53502
-779.0,3439.0,4218
623.0,3623.0,3000
43.0,3720.0,3677
396.0,4264.0,3868
905.0,4212.0,3307
1074.0,3825.0,2751
-4277.0,3655.0,7932
2261.0,4013.0,1752
460.0,3835.0,3375
-7298.0,1972.0,9270
2199.0,3940.0,1741
2201.0,3313.0,1112
970.0,3655.0,2685
3163.0,6369.0,3206
7013.0,8103.0,1090
799.0,2139.0,1340
855.0,2232.0,1377
2921.0,4105.0,1184
2161.0,3913.0,1752
2369.0,3412.0,1043
-13679.0,3803.0,17482
-3012.0,4116.0,7128
-1991.0,4007.0,5998
2125.0,3306.0,1181
3088.0,4246.0,1158
3433.0,4739.0,1306
7179.0,10497.0,3318
-149.0,1135.0,1284
1939.0,3756.0,1817
-1510.0,3986.0,5496
2300.0,4064.0,1764
5205.0,6369.0,1164
2701.0,3760.0,1059
-206.0,3464.0,3670
1952.0,3350.0,1398
719.0,3903.0,3184
24827.0,53297.0,28470
2165.0,3624.0,1459
2133.0,3253.0,1120
2357.0,3596.0,1239
5249.0,6369.0,1120
37620.0,79733.0,42113
2326.0,3517.0,1191
1064.0,3602.0,2538
-1120.0,1999.0,3119
948.0,2063.0,1115
813.0,2050.0,1237
613.0,2042.0,1429
1943.0,3145.0,1202
322.0,3169.0,2847
1637.0,6254.0,4617
7694.0,9043.0,1349
-1782.0,2572.0,4354
1770.0,3558.0,1788
319.0,2046.0,1727
1061.0,4331.0,3270
497.0,2074.0,1577
1145.0,3181.0,2036
1843.0,3096.0,1253
2158.0,3398.0,1240
1993.0,3083.0,1090
53.0,3333.0,3280
1199.0,2806.0,1607
-1910.0,6369.0,8279
-1711.0,9014.0,10725
-320.0,3645.0,3965
8958.0,10049.0,1091
-7419.0,3495.0,10914
4992.0,6369.0,1377
3754.0,6369.0,2615
856.0,3447.0,2591
-2265.0,3134.0,5399
2783.0,4661.0,1878
1902.0,3052.0,1150
10818.0,11913.0,1095
2937.0,6369.0,3432
4352.0,10557.0,6205
2412.0,3488.0,1076
1776.0,5768.0,3992
1919.0,3679.0,1760
153.0,1711.0,1558
2271.0,3355.0,1084
2630.0,3799.0,1169
2547.0,3621.0,1074
-11150.0,4370.0,15520
-696.0,3117.0,3813
1481.0,3597.0,2116
1298.0,3633.0,2335
1371.0,3412.0,2041
1652.0,6598.0,4946
-989.0,696.0,1685
-101702.0,204699.0,306401
-3024.0,5589.0,8613
-2555.0,3921.0,6476
1798.0,3635.0,1837
854.0,3277.0,2423
-3580.0,2595.0,6175
4691.0,7029.0,2338
1606.0,3391.0,1785
759.0,1849.0,1090
428.0,3616.0,3188
1437.0,3490.0,2053
1978.0,3317.0,1339
-2930.0,1853.0,4783
3538.0,6403.0,2865
1315.0,3780.0,2465
4904.0,6078.0,1174
1199.0,2930.0,1731
-4781.0,5445.0,10226
897.0,2261.0,1364
26404.0,38321.0,11917
-1185.0,3585.0,4770
8378.0,30485.0,22107
2418.0,6369.0,3951
-216.0,1225.0,1441
-700.0,3905.0,4605
4846.0,22241.0,17395
126.0,2047.0,1921
-40398.0,87637.0,128035
1443.0,2649.0,1206
549.0,2664.0,2115
3189.0,4196.0,1007
11507.0,13592.0,2085
583.0,1922.0,1339
-85700.0,6369.0,92069
626.0,6369.0,5743
-597.0,2084.0,2681
-5884.0,6369.0,12253
4910.0,6369.0,1459
319.0,3505.0,3186
-16660.0,6369.0,23029
-987.0,3867.0,4854
2065.0,3388.0,1323
2241.0,3386.0,1145
-3950.0,851.0,4801
-5916.0,4188.0,10104
2469.0,3957.0,1488
1738.0,3601.0,1863
481.0,4056.0,3575
2343.0,3504.0,1161
4178.0,5257.0,1079
101.0,3302.0,3201
3520.0,8397.0,4877
-1546.0,895.0,2441
9881.0,11245.0,1364
376810.0,577567.0,200757
2506.0,3568.0,1062
-1406.0,4110.0,5516
1086.0,2724.0,1638
1332.0,3157.0,1825
1561.0,2846.0,1285
-91604.0,6369.0,97973
3603.0,6369.0,2766
-651.0,704.0,1355
3259.0,5859.0,2600
1476.0,3495.0,2019
11445.0,13556.0,2111
-2112.0,4099.0,6211
617.0,1997.0,1380
7722.0,16470.0,8748
-4197.0,6369.0,10566
389.0,3893.0,3504
-3640.0,1950.0,5590
4224.0,22802.0,18578
810.0,4128.0,3318
328.0,2441.0,2113
3076.0,5242.0,2166
14972.0,32370.0,17398
3309.0,6369.0,3060
1004.0,4764.0,3760
1899.0,4047.0,2148
2051.0,3158.0,1107
5383.0,6718.0,1335
3775.0,5106.0,1331
25007.0,29053.0,4046
3211.0,6369.0,3158
490.0,3442.0,2952
92338.0,93871.0,1533
131.0,2791.0,2660
1043.0,2439.0,1396
397.0,3709.0,3312
1145.0,3483.0,2338
898.0,2335.0,1437
3055.0,4126.0,1071
2952.0,4241.0,1289
-24179.0,4303.0,28482
-16055.0,6026.0,22081
187057.0,190221.0,3164
2296.0,3336.0,1040
2487.0,3891.0,1404
-881.0,318.0,1199
1958.0,3508.0,1550
2161.0,3256.0,1095
5324.0,6369.0,1045
1449.0,3439.0,1990
31392.0,40630.0,9238
-4657.0,3305.0,7962
-724.0,3923.0,4647
15582.0,22042.0,6460
-35677.0,16500.0,52177
-718.0,4016.0,4734
2116.0,3338.0,1222
1613.0,2930.0,1317
1643.0,2896.0,1253
472.0,2002.0,1530
-3173.0,3453.0,6626
2323.0,3441.0,1118
69.0,1912.0,1843
414.0,1638.0,1224
593.0,3409.0,2816
-2730.0,4241.0,6971
4295.0,6369.0,2074
2309.0,3344.0,1035
4373.0,6369.0,1996
-6261.0,3602.0,9863
4625.0,6369.0,1744
1553.0,3534.0,1981
-18819.0,3338.0,22157
-433.0,4196.0,4629
120437.0,298388.0,177951
5562.0,16067.0,10505
70721.0,78706.0,7985
288.0,3501.0,3213
1871.0,6369.0,4498
1662.0,3408.0,1746
2278.0,3583.0,1305
2628.0,4199.0,1571
1525.0,3489.0,1964
2947.0,4307.0,1360
-5693.0,4205.0,9898
2089.0,3383.0,1294
-63761.0,7337.0,71098
-566.0,3529.0,4095
-30069.0,3982.0,34051
2086.0,3612.0,1526
565.0,3502.0,2937
2746.0,3848.0,1102
3106.0,4168.0,1062
2576.0,3649.0,1073
305.0,3277.0,2972
1925.0,3421.0,1496
2649.0,4089.0,1440
1873.0,3311.0,1438
776.0,3711.0,2935
2995.0,4182.0,1187
2839.0,3865.0,1026
4653.0,9114.0,4461
-6246.0,2733.0,8979
-974.0,2130.0,3104
1385.0,2526.0,1141
-2627.0,2825.0,5452
2818.0,4219.0,1401
-3084.0,2735.0,5819
1529.0,2651.0,1122
2032.0,3823.0,1791
621.0,2065.0,1444
-1769.0,3425.0,5194
1493.0,3624.0,2131
-68418.0,16495.0,84913
4067.0,5223.0,1156
2508.0,3705.0,1197
-3495.0,3536.0,7031
1853.0,5326.0,3473
513.0,3484.0,2971
-190282.0,13208.0,203490
3659.0,5276.0,1617
10256.0,11463.0,1207
871.0,2585.0,1714
767.0,3826.0,3059
2587.0,3984.0,1397
2878.0,3963.0,1085
923.0,4158.0,3235
1782.0,3590.0,1808
912.0,3402.0,2490
1482.0,2595.0,1113
1365.0,3310.0,1945
7440.0,10094.0,2654
2344.0,3580.0,1236
-5321.0,5041.0,10362
1167.0,3146.0,1979
1930.0,3160.0,1230
2092.0,3201.0,1109
356.0,3646.0,3290
-919.0,3110.0,4029
-11534.0,3269.0,14803
2208.0,3530.0,1322
2884.0,4295.0,1411
-9968.0,4119.0,14087
2317.0,3654.0,1337
-5192.0,4075.0,9267
2298.0,3570.0,1272
1924.0,4414.0,2490
-18570.0,2937.0,21507
14117.0,282867.0,268750
-9533.0,6369.0,15902
2152.0,3348.0,1196
701.0,3335.0,2634
333.0,1888.0,1555
-2164.0,4222.0,6386
-5159.0,3718.0,8877
-2157.0,3714.0,5871
-1357.0,1699.0,3056
-1982.0,2888.0,4870
2323.0,3527.0,1204
2732.0,5049.0,2317
583.0,1996.0,1413
2607.0,6369.0,3762
1257.0,6494.0,5237
-354.0,2801.0,3155
-67434.0,13753.0,81187
1863.0,2946.0,1083
1742.0,3779.0,2037
2402.0,6116.0,3714
5834.0,7096.0,1262
3389.0,4426.0,1037
1538.0,4344.0,2806
5216.0,6369.0,1153
450.0,3330.0,2880
2157.0,6369.0,4212
2178.0,3743.0,1565
702.0,3551.0,2849
1724.0,3614.0,1890
3058.0,4242.0,1184
-2059.0,3600.0,5659
-14451.0,6369.0,20820
2580.0,4096.0,1516
2100.0,4240.0,2140
2075.0,3587.0,1512
1592.0,2906.0,1314
1276.0,3820.0,2544
-1973.0,4432.0,6405
430.0,3613.0,3183
-2559.0,3905.0,6464
-7444.0,5290.0,12734
2964.0,4121.0,1157
2210.0,3724.0,1514
-133488.0,10613.0,144101
2418.0,3594.0,1176
2646.0,4095.0,1449
2184.0,4050.0,1866
2590.0,3987.0,1397
1879.0,3180.0,1301
-27.0,2901.0,2928
-1936.0,3466.0,5402
1424.0,3650.0,2226
981.0,2388.0,1407
1200.0,3279.0,2079
18028.0,19778.0,1750
6992.0,9025.0,2033
1787.0,3955.0,2168
2822.0,6369.0,3547
744.0,4423.0,3679
4404.0,15401.0,10997
-5041.0,4020.0,9061
1854.0,3273.0,1419
-1498.0,1804.0,3302
244.0,3658.0,3414
2485.0,3571.0,1086
37942.0,48567.0,10625
1454.0,4111.0,2657
39630.0,66221.0,26591
80313.0,84888.0,4575
2070.0,3387.0,1317
1557.0,3666.0,2109
2209.0,3429.0,1220
-4221.0,6369.0,10590
2336.0,3533.0,1197
2356.0,3917.0,1561
3250.0,4439.0,1189
-18234.0,3122.0,21356
1488.0,2557.0,1069
1785.0,3399.0,1614
-4938.0,3727.0,8665
-959.0,3502.0,4461
1787.0,2871.0,1084
2049.0,3134.0,1085
703.0,3614.0,2911
1923.0,4016.0,2093
1979.0,3494.0,1515
2094.0,3405.0,1311
1433.0,2660.0,1227
-32408.0,5021.0,37429
1841.0,3357.0,1516
-1110.0,3599.0,4709
-4137.0,3129.0,7266
1812.0,3084.0,1272
5907.0,20036.0,14129
-4845.0,3425.0,8270
1471.0,2621.0,1150
2279.0,3669.0,1390
658.0,1704.0,1046
1961.0,3281.0,1320
-1208.0,1733.0,2941
-18072.0,3604.0,21676
-1507.0,10839.0,12346
-14462.0,3213.0,17675
48489.0,79614.0,31125
1006.0,2589.0,1583
658.0,1747.0,1089
-3444.0,3073.0,6517
1729.0,3612.0,1883
-1192.0,3340.0,4532
1010.0,9839.0,8829
2067.0,3433.0,1366
549.0,1956.0,1407
5345.0,6995.0,1650
-523.0,4721.0,5244
2134.0,3313.0,1179
1637.0,5637.0,4000
2064.0,3547.0,1483
12.0,3857.0,3845
873.0,2645.0,1772
-280.0,2293.0,2573
-1543.0,1810.0,3353
-7065.0,4214.0,11279
1566.0,2973.0,1407
1635.0,3466.0,1831
2057.0,3148.0,1091
-68023.0,6623.0,74646
555.0,2120.0,1565
2318.0,3326.0,1008
-2510.0,3055.0,5565
1803.0,3754.0,1951
-3265.0,3636.0,6901
832.0,3649.0,2817
-671.0,3432.0,4103
61333.0,62930.0,1597
2332.0,3710.0,1378
-190.0,2370.0,2560
-301.0,1804.0,2105
-15041.0,2461.0,17502
1842.0,5366.0,3524
-18350.0,3405.0,21755
-891.0,1859.0,2750
1166.0,2212.0,1046
161.0,2552.0,2391
236.0,2978.0,2742
675.0,1926.0,1251
-3892.0,5722.0,9614
-4205.0,3367.0,7572
1506.0,3144.0,1638
899.0,6615.0,5716
