error,Model
-11153.853271484375,DNN-2
-329.979248046875,DNN-2
-116.6929931640625,DNN-2
-3476.701416015625,DNN-2
-234.0634765625,DNN-2
-85.164306640625,DNN-2
-163.6181640625,DNN-2
399.8773193359375,DNN-2
-21497.076416015625,DNN-2
99.620361328125,DNN-2
60598.7421875,DNN-2
376303.0,DNN-2
-41581.083740234375,DNN-2
25955.80078125,DNN-2
2114.974853515625,DNN-2
106548.953125,DNN-2
-4236.897705078125,DNN-2
3095.748046875,DNN-2
-708.0106201171875,DNN-2
-604.4888916015625,DNN-2
711.74658203125,DNN-2
259.3521728515625,DNN-2
6531.31689453125,DNN-2
3799.048828125,DNN-2
-995.61181640625,DNN-2
414.6121826171875,DNN-2
2328.44921875,DNN-2
303.41357421875,DNN-2
221.486328125,DNN-2
-12934.567260742188,DNN-2
-429.5167236328125,DNN-2
-850.75634765625,DNN-2
123.98828125,DNN-2
140.228515625,DNN-2
-3302.880859375,DNN-2
16.1754150390625,DNN-2
1125.64208984375,DNN-2
-676.4638671875,DNN-2
1925.8671875,DNN-2
-128.94580078125,DNN-2
-2389.9833984375,DNN-2
-16336.220703125,DNN-2
299.9619140625,DNN-2
-1255.365234375,DNN-2
-2494.0142822265625,DNN-2
195.6650390625,DNN-2
267.56591796875,DNN-2
348.078369140625,DNN-2
2368.814453125,DNN-2
8760.751953125,DNN-2
311.51806640625,DNN-2
-2386.940185546875,DNN-2
-267.3016357421875,DNN-2
-2091.553466796875,DNN-2
-51317.60876464844,DNN-2
474.81396484375,DNN-2
510.24365234375,DNN-2
103.69189453125,DNN-2
11376.017578125,DNN-2
87908.828125,DNN-2
14855.654296875,DNN-2
-874.8541259765625,DNN-2
99.4039306640625,DNN-2
593.4180908203125,DNN-2
556.9837646484375,DNN-2
-486.3359375,DNN-2
-12706.742919921875,DNN-2
318.090087890625,DNN-2
-88.6297607421875,DNN-2
-13373.193725585938,DNN-2
-61954.15625,DNN-2
-10538.919921875,DNN-2
-10941.73828125,DNN-2
-2056.1407470703125,DNN-2
554.677734375,DNN-2
-393.696533203125,DNN-2
-1246.9222412109375,DNN-2
-22626.627685546875,DNN-2
3125.525390625,DNN-2
1518.63232421875,DNN-2
-1224.28369140625,DNN-2
2945.7021484375,DNN-2
-596.5130615234375,DNN-2
187556.6875,DNN-2
4130.46875,DNN-2
-14160.68115234375,DNN-2
2171.30419921875,DNN-2
-397.034423828125,DNN-2
855.36474609375,DNN-2
-1118.59912109375,DNN-2
606.5882568359375,DNN-2
-50087.3984375,DNN-2
48.947021484375,DNN-2
1363.570556640625,DNN-2
-59201.96875,DNN-2
469.1083984375,DNN-2
264.076171875,DNN-2
-520.5546875,DNN-2
-5176.948486328125,DNN-2
-77018.1181640625,DNN-2
174.117919921875,DNN-2
847.225830078125,DNN-2
419.619873046875,DNN-2
83.549560546875,DNN-2
-749.495849609375,DNN-2
537.55419921875,DNN-2
2432.052490234375,DNN-2
120.2633056640625,DNN-2
-674.68603515625,DNN-2
4737.1923828125,DNN-2
312.9571533203125,DNN-2
45.708251953125,DNN-2
-313.945068359375,DNN-2
-1305.9029541015625,DNN-2
-432.3201904296875,DNN-2
82.0386962890625,DNN-2
-26073.2890625,DNN-2
210.572998046875,DNN-2
-13823.455078125,DNN-2
-605.6700439453125,DNN-2
-23712.46240234375,DNN-2
-31460.42919921875,DNN-2
361.53076171875,DNN-2
1757.2919921875,DNN-2
-14866.405517578125,DNN-2
-284.0423583984375,DNN-2
-5056.0823974609375,DNN-2
478.042236328125,DNN-2
-1005.93017578125,DNN-2
-1459.1632080078125,DNN-2
266.6026611328125,DNN-2
-3758.509765625,DNN-2
-1127.8143310546875,DNN-2
-600.9215087890625,DNN-2
-664.01708984375,DNN-2
1383.11572265625,DNN-2
393.3404541015625,DNN-2
-8070.69873046875,DNN-2
4117.57177734375,DNN-2
163.04931640625,DNN-2
808.086669921875,DNN-2
-16870.96826171875,DNN-2
-471.8387451171875,DNN-2
184.703857421875,DNN-2
-1229.089599609375,DNN-2
84.1458740234375,DNN-2
480.79833984375,DNN-2
-1128.056640625,DNN-2
-739.8853759765625,DNN-2
451.421875,DNN-2
333.959228515625,DNN-2
-1965.3167724609375,DNN-2
-289.9288330078125,DNN-2
-431.1064453125,DNN-2
568.5850830078125,DNN-2
1893.060791015625,DNN-2
-4124.41015625,DNN-2
178.1053466796875,DNN-2
-7924.19775390625,DNN-2
-3277.810546875,DNN-2
182.2735595703125,DNN-2
190.9315185546875,DNN-2
91.4117431640625,DNN-2
-188.3760986328125,DNN-2
-472.7359619140625,DNN-2
-1408.9296875,DNN-2
112.3157958984375,DNN-2
547.0762939453125,DNN-2
6132.912109375,DNN-2
195.0675048828125,DNN-2
129.558349609375,DNN-2
-13.300048828125,DNN-2
-4133.0244140625,DNN-2
538.1148681640625,DNN-2
2861.974609375,DNN-2
1166.3173828125,DNN-2
-1165.7164306640625,DNN-2
169.163330078125,DNN-2
-939.447265625,DNN-2
-5340.81396484375,DNN-2
-2420.630615234375,DNN-2
-1977.270263671875,DNN-2
-394.369140625,DNN-2
-1267.2132568359375,DNN-2
-685.8509521484375,DNN-2
-290.46875,DNN-2
311.5465087890625,DNN-2
626.51708984375,DNN-2
78.02685546875,DNN-2
349.4691162109375,DNN-2
-841.3759765625,DNN-2
551.79931640625,DNN-2
826.3779296875,DNN-2
-3715.8486328125,DNN-2
652.63720703125,DNN-2
-5772.0767822265625,DNN-2
-1501.66162109375,DNN-2
1003.76953125,DNN-2
-1084.585205078125,DNN-2
482.4918212890625,DNN-2
-553.039306640625,DNN-2
92.79296875,DNN-2
-2375.333984375,DNN-2
1588.458984375,DNN-2
-51.0853271484375,DNN-2
5789.33984375,DNN-2
-2430.0234375,DNN-2
-73933.0205078125,DNN-2
-637.0712890625,DNN-2
-604.5849609375,DNN-2
226.387939453125,DNN-2
36006.171875,DNN-2
-4587.6505126953125,DNN-2
-2715.005859375,DNN-2
-1066.24609375,DNN-2
-25422.44677734375,DNN-2
72.3177490234375,DNN-2
-1717.8665771484375,DNN-2
-811.44384765625,DNN-2
-28406.9716796875,DNN-2
1243.028076171875,DNN-2
-146.257080078125,DNN-2
-258.1976318359375,DNN-2
-1640.859375,DNN-2
403.8533935546875,DNN-2
-11940.359375,DNN-2
-17263.4013671875,DNN-2
-623.73828125,DNN-2
-71604.62109375,DNN-2
-9164.779296875,DNN-2
907.6856689453125,DNN-2
-99.919189453125,DNN-2
-402.1982421875,DNN-2
-1742.353271484375,DNN-2
-29962.24658203125,DNN-2
998.3310546875,DNN-2
377.108642578125,DNN-2
-29525.7001953125,DNN-2
-2571.225341796875,DNN-2
-109557.50732421875,DNN-2
-352.12109375,DNN-2
-3929.8162841796875,DNN-2
25350.421875,DNN-2
501.7908935546875,DNN-2
-453.859619140625,DNN-2
-758.0166015625,DNN-2
1320.74560546875,DNN-2
3034.86376953125,DNN-2
-256050.0,DNN-2
1964.18798828125,DNN-2
1698.041015625,DNN-2
-765.14111328125,DNN-2
2508.4501953125,DNN-2
-4749.7264404296875,DNN-2
-63313.109375,DNN-2
852.382568359375,DNN-2
2891.85888671875,DNN-2
-14379.033203125,DNN-2
-636.586669921875,DNN-2
-430.11328125,DNN-2
-22357.53173828125,DNN-2
-135135.75,DNN-2
-687.51220703125,DNN-2
2319.96728515625,DNN-2
-1063.6754150390625,DNN-2
-169078.46875,DNN-2
1159.999267578125,DNN-2
334.0059814453125,DNN-2
2329.10302734375,DNN-2
-402.0909423828125,DNN-2
-49.90283203125,DNN-2
-2737.1785888671875,DNN-2
-1508.234375,DNN-2
-6896.036865234375,DNN-2
-4015.0599365234375,DNN-2
-613.9427490234375,DNN-2
-488.7330322265625,DNN-2
-56.6768798828125,DNN-2
-368.5511474609375,DNN-2
-145.599609375,DNN-2
615.1072998046875,DNN-2
-1349.731689453125,DNN-2
-1948.2513427734375,DNN-2
-1610.2791748046875,DNN-2
-661.0361328125,DNN-2
1175.6494140625,DNN-2
-1699.525634765625,DNN-2
144.7518310546875,DNN-2
2090.4248046875,DNN-2
636.975341796875,DNN-2
610.303955078125,DNN-2
-1783.46435546875,DNN-2
-3345.6307373046875,DNN-2
-2393.69970703125,DNN-2
8149.578125,DNN-2
-10374.546875,DNN-2
56960.625,DNN-2
5790.240234375,DNN-2
1953.159423828125,DNN-2
3287.80029296875,DNN-2
2519.92822265625,DNN-2
-4929.2099609375,DNN-2
520.373779296875,DNN-2
-5273.596923828125,DNN-2
870.6927490234375,DNN-2
-3727.9278564453125,DNN-2
-1246.427001953125,DNN-2
-1468.47119140625,DNN-2
219.4970703125,DNN-2
426.6346435546875,DNN-2
1009.354736328125,DNN-2
641.9500732421875,DNN-2
273.658935546875,DNN-2
576.5841064453125,DNN-2
340.905517578125,DNN-2
63.864501953125,DNN-2
466.810791015625,DNN-2
94.65869140625,DNN-2
-48157.72705078125,DNN-2
-342.841064453125,DNN-2
-1230.437744140625,DNN-2
-752.291748046875,DNN-2
279.8790283203125,DNN-2
-17877.740478515625,DNN-2
470.405517578125,DNN-2
-414.5311279296875,DNN-2
-17219.43115234375,DNN-2
-16.4088134765625,DNN-2
-2220.984130859375,DNN-2
-3840.34375,DNN-2
-3266.65087890625,DNN-2
889.2587890625,DNN-2
-81087.42919921875,DNN-2
626.7200927734375,DNN-2
-2902.7236328125,DNN-2
-61877.0703125,DNN-2
-232.0435791015625,DNN-2
1202.76318359375,DNN-2
307.2333984375,DNN-2
-1891.6751708984375,DNN-2
-1303.153076171875,DNN-2
-1707.251708984375,DNN-2
-257.0709228515625,DNN-2
-236.6650390625,DNN-2
741.331298828125,DNN-2
-1124.3277587890625,DNN-2
234.428955078125,DNN-2
-405.52880859375,DNN-2
429.57470703125,DNN-2
-2428.6708984375,DNN-2
379.211669921875,DNN-2
22.4981689453125,DNN-2
2162.63134765625,DNN-2
-109.9248046875,DNN-2
-1912.5048828125,DNN-2
-12322.255859375,DNN-2
-240.8638916015625,DNN-2
730.37939453125,DNN-2
-1187.09326171875,DNN-2
-7826.322021484375,DNN-2
2264.677978515625,DNN-2
1610.830322265625,DNN-2
-2925.2158203125,DNN-2
5901.95703125,DNN-2
2367.134765625,DNN-2
348.726318359375,DNN-2
620.435546875,DNN-2
-13213.5234375,DNN-2
-625.9031982421875,DNN-2
76601.28125,DNN-2
3685.435546875,DNN-2
1283.555908203125,DNN-2
4241.74365234375,DNN-2
142922.03125,DNN-2
3413.009765625,DNN-2
1366.0244140625,DNN-2
17276.58984375,DNN-2
27546.5546875,DNN-2
3617.1943359375,DNN-2
4437.392578125,DNN-2
1446.212158203125,DNN-2
325.1458740234375,DNN-2
-2092.2803955078125,DNN-2
521.297119140625,DNN-2
1847.241455078125,DNN-2
-3534.3486328125,DNN-2
835.6923828125,DNN-2
-2377.4951171875,DNN-2
-742.496337890625,DNN-2
-89.656494140625,DNN-2
-1690.2642822265625,DNN-2
1178.57080078125,DNN-2
-342.36572265625,DNN-2
-1398.068603515625,DNN-2
-25849.749877929688,DNN-2
574.729248046875,DNN-2
-2117.4482421875,DNN-2
578.1412353515625,DNN-2
-179.827392578125,DNN-2
-448.736572265625,DNN-2
-787.1510009765625,DNN-2
18863.529296875,DNN-2
440.633544921875,DNN-2
-331.3829345703125,DNN-2
249.4227294921875,DNN-2
372.1558837890625,DNN-2
-256.0472412109375,DNN-2
-3543.458984375,DNN-2
-267.6751708984375,DNN-2
55.734375,DNN-2
-1503.358154296875,DNN-2
-451.004150390625,DNN-2
-10682.228393554688,DNN-2
-5826.09619140625,DNN-2
-3219.6973876953125,DNN-2
400.23779296875,DNN-2
3078.4951171875,DNN-2
-632.5382080078125,DNN-2
-7363.74853515625,DNN-2
173.571044921875,DNN-2
362.818359375,DNN-2
2093.521240234375,DNN-2
51892.015625,DNN-2
1139.48583984375,DNN-2
